gals,field,morph,z,log_m,r_edge,sigma_edge,ar,pa,f1_maj,rec_maj,prec_maj,r_05,Deltar_05
8760,goodss,DISKIRR,0.7358,10.239,8.5,10.454,0.8,51.0,0.952,0.985,0.921,8.851649259095273,0.09338474559921772
25484,goodsn,DISK,0.4378,10.583,12.5,4.857,0.7256,25.4324,0.898,0.818,0.996,11.743771798685941,0.10070870558268763
9223,uds,DISKSPH,0.6426,10.845,10.5,27.321,0.4555,-6.1257,0.655,0.998,0.488,12.0824926111998,0.17754264070735515
15604,goodss,DISK,0.338,10.311,15.5,1.711,0.3343,-26.6621,0.852,0.892,0.815,14.478982241563944,0.01879145123325665
25286,goodss,DISK,0.7376000285148621,11.048,14.5,23.048,0.8,-10.0,0.926,0.925,0.926,14.805928142062019,0.2803445754175097
12980,goodsn,DISKIRR,0.4845,10.331,11.5,3.848,0.5506,30.2564,0.812,0.924,0.725,11.016668698822796,0.14765281340540193
22795,goodsn,DISK,0.5556,10.455,11.5,6.604,0.8,85.0,0.857,0.782,0.949,10.770360746949386,0.3400249926631477
6512,goodss,DISKSPH,0.7337,10.532,10.5,11.929,0.4997,-70.7294,0.811,0.984,0.69,10.194371343237613,0.11692779810398968
19907,uds,DISK,0.82669997215271,10.602,14.5,8.895,0.41,-67.0359,0.921,0.897,0.947,13.449512557715982,0.012695263760051145
17877,uds,DISKSPH,0.6306999921798706,10.678,14.5,6.569,0.775,-70.0,0.915,0.925,0.906,17.00195045365931,0.1605254437586644
3355,cosmos,DISKSPH,0.6790000200271606,10.564,13.5,9.151,0.421,14.3351,0.869,0.901,0.839,13.26381700656758,0.07851557950938115
2907,goodsn,DISK,0.955,10.444,13.5,5.038,0.3909,13.3568,0.869,0.906,0.835,11.962237957421143,0.03287475977311416
10735,uds,DISKSPH,0.6463000178337097,10.554,11.5,10.714,0.5745,77.3616,0.876,0.889,0.863,11.166948907359089,0.01950047917154618
18017,egs,DISKSPH,1.010699987411499,10.914,10.5,34.944,0.6578,-53.0913,0.787,0.922,0.686,14.26571542739218,0.09896803114764197
22059,goodss,DISKIRR,1.0298999547958374,10.64,9.5,9.775,0.5323,45.237,0.843,0.935,0.768,9.961576862919165,0.02266245378309395
19517,goodsn,DISK,0.9403,11.278,19.5,11.231,0.6935,-23.8337,0.92,0.883,0.96,18.890626275241207,0.11233180150756483
7945,egs,DISKSPH,0.3932,10.498,13.5,5.004,0.8,15.0,0.929,0.891,0.97,13.032765375617156,0.06791432646131845
5316,uds,DISK,1.042099952697754,10.48,12.5,13.365,0.4537,87.035,0.738,0.934,0.61,13.58940718335108,0.029085400647580695
16607,goodsn,DISKIRR,0.8392,10.246,15.5,3.081,0.4192,-65.5575,0.741,0.758,0.724,16.252026179864856,0.3431867480794154
10363,goodsn,DISKSPH,0.8457,11.089,15.5,16.3,0.6112,28.8106,0.814,0.69,0.993,12.522502940206637,0.31556126947773755
4689,goodsn,DISKIRR,0.9365,10.444,21.5,3.957,0.503,52.1595,0.887,0.816,0.971,21.105501387418105,0.005531850333000188
7095,uds,DISKSPH,0.92,10.959,15.5,7.312,0.4,-40.0,0.828,0.957,0.729,15.867372695142897,0.03578984125426732
15934,uds,DISKSPH,0.325,10.9,25.5,1.989,0.34,56.0,0.933,0.884,0.987,26.43106572073777,0.0914067911566725
1237,goodss,DISKIRR,0.966,10.185,12.5,1.787,0.6825,-13.1217,0.839,0.743,0.962,15.224819953497079,0.32441486166575584
8574,uds,DISKSPH,0.7878000140190125,10.838,12.5,10.599,0.85,-35.0,0.847,0.734,1.0,11.762691308121338,0.2882899434148677
9106,goodsn,DISKSPH,0.6736000180244446,10.408,11.5,3.426,0.2653,40.4513,0.673,0.96,0.518,12.864856759793188,0.14444762868390948
23556,goodsn,DISK,0.947,10.264,13.5,4.249,0.6618,4.1451,0.889,0.966,0.824,16.345847467166685,0.11038133872457068
13353,goodsn,DISKSPH,0.4742,11.035,21.5,5.321,0.5312,22.8754,0.824,0.973,0.714,21.77530055708045,0.048168656755354644
11637,cosmos,DISKSPH,0.8313000202178955,10.403,7.5,28.718,0.6383,2.0827,0.896,0.994,0.814,8.413371753617668,0.0637999208313994
1902,goodsn,DISK,0.8405,10.343,6.5,34.699,0.6816,-62.1588,0.57,1.0,0.398,10.451606496364205,0.25007997867258136
872,egs,DISK,0.9670000076293944,10.235,9.5,11.376,0.1818,-76.5059,0.571,1.0,0.4,10.889001915416163,0.04007503486089192
12033,cosmos,DISK,0.6867,10.751,12.5,16.797,0.3986,-24.5212,0.806,0.99,0.68,12.403743999154152,0.03167822557605915
14470,egs,DISK,0.5166000127792358,10.252,9.5,2.746,0.268,-34.9701,0.642,0.967,0.48,9.020000953708315,0.035617228641639076
15763,goodsn,DISK,0.9354,11.174,17.5,2.014,0.2886,23.9899,0.649,0.992,0.482,25.215425881852237,0.2876983816488847
27825,egs,DISKSPH,0.2008000016212463,10.051,10.5,1.676,0.7414,-22.4155,0.862,0.76,0.995,8.674942497632381,0.12884567770717237
20619,cosmos,DISKSPH,0.3479,10.759,16.5,3.966,0.5351,-68.5683,0.871,0.865,0.878,16.66146352463814,0.23560389007214233
11232,goodss,DISKSPH,0.457,11.006,29.5,1.703,0.69,109.0,0.734,0.58,1.0,25.91203833406601,0.6077677297236319
16721,egs,DISKSPH,0.2782999873161316,9.984,8.5,4.825,0.6329,14.8045,0.867,0.946,0.801,9.22916082739264,0.23619621209691932
13728,cosmos,DISKSPH,0.6879,10.51,9.5,15.24,0.4676,72.3974,0.699,0.999,0.538,11.628448054866185,0.08468496757723443
20934,goodss,DISKSPH,0.418,10.972,17.5,6.268,0.8,30.0,0.87,0.947,0.804,21.312308231411716,0.3878984765333803
11181,goodsn,DISKSPH,0.634,10.186,9.5,1.942,0.2593,-60.77,0.485,1.0,0.32,11.22520485398959,0.09512876810635384
6264,goodss,DISK,0.735,10.782,11.5,10.933,0.4012,87.7954,0.797,0.983,0.67,11.536389873216047,0.1454401151214647
15937,uds,DISKIRR,0.9957000017166138,10.734,12.5,11.229,0.6223,61.6525,0.899,0.823,0.991,12.781819772709442,0.1419509122704835
12759,cosmos,DISK,0.92330002784729,11.039,22.5,4.092,0.69,11.0,0.816,0.689,1.0,22.638929030082473,0.019877488061668558
6015,goodss,DISK,0.735,10.76,17.5,6.091,0.7,90.0,0.779,0.638,1.0,15.048592430253112,0.365813715984765
19940,goodsn,DISKSPH,0.847,10.619,15.5,6.596,0.6,-35.0,0.857,0.779,0.952,14.666824049989536,0.2700609822474139
19828,goodsn,DISKSPH,0.4834,10.25,9.5,12.714,0.3063,-17.0194,0.679,0.909,0.542,9.336938690065827,0.17656722009218861
9405,uds,DISKIRR,0.9868,10.416,8.5,29.59,0.7473,-32.6214,0.89,0.901,0.879,9.300417938770492,0.11391541679466943
13608,goodsn,DISKSPH,0.4735,10.21,10.5,5.12,0.5879,-33.2008,0.924,0.892,0.959,10.366958961851587,0.07327267796197745
16165,uds,DISKSPH,0.9337999820709229,10.862,13.5,13.84,0.85,6.0,0.867,0.765,1.0,12.760214955507465,0.13913073558701206
10494,goodsn,DISK,0.909,10.746,17.5,1.939,0.3464,36.2761,0.872,0.916,0.832,16.273092015809947,0.03720669177811253
12246,goodsn,DISKSPH,0.853,10.82,9.5,33.484,0.8051,-76.613,0.906,0.983,0.84,10.131039657593279,0.1468675064526075
5127,cosmos,DISKIRR,0.9868000149726868,10.231,5.5,77.155,0.372,77.4372,0.519,1.0,0.35,7.072289638412884,0.11952890007782468
